issue_id,short_description,area,source_run1,prior_behavior,documented_repair,run2_test_method,current_result,status,evidence_paths,residual_risk,next_action
MF-011,Token-Schätzung korrigieren,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Aktuell wird jedes Nicht-ASCII-Zeichen als volles Token geschätzt. Deutsche Texte werden dadurch systematisch überschätzt und unnötig abgeschnitten. Die Budgetprüfung muss die tatsächlich verwendete Tokenisierung verlässlich abbilden.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Standalone-Regressionstest plus Session-33-Logaudit auf Budget-, Setup- und Laufzeitflags","Retest nutzt reale modellabhängige Chat-Templates für deutsche Texte bei Qwen, Gemma und GPT-OSS statt Nicht-ASCII-Zeichen pauschal als Token zu zählen.",FIXED,plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `web_infrastructure/backend_wrapper.py:_estimate_msg_tokens`. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_token_budget.log,Tokenizerrevisionen können Zählwerte verändern; Modellrevision im Report pinnen.,Fixstatus im finalen Report mit den genannten Belegen ausweisen und Regression weiter überwachen.
MF-012,Context-Shrink vollständig und iterativ machen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Die pauschale `token_budget * 3`-Kürzung passt nicht zur eigenen Schätzfunktion. Nach dem Kürzen kann der Prompt weiterhin über dem Limit liegen. Ein finaler Request darf nicht mit bekannt überschrittenem Budget weiterlaufen.,Reparaturziel dokumentiert; aktuelle Implementierung zählt mit dem aktiven Modell-Tokenizer und kürzt anhand vollständiger Chat-Template-Zählungen.,"Standalone-Regressionstest plus Session-33-Logaudit auf Budget-, Setup- und Laufzeitflags","Im langen 86-Fragen-Verlauf treten über 430 Antworten 0 Context-Budget- und 0 Setup-Fehler auf; Run 1 hatte in der gepaarten Gemma-Iteration 82/86 Budgetfehler. Ein deterministischer Oversize-Retest entfernt zwei History-Nachrichten, kürzt danach System- und Nutzertext und endet mit `trimmed_tokens <= token_limit` sowie `context_budget_failed=false`.",FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `web_infrastructure/backend_wrapper.py:_enforce_context_budget`. | forschung/runs/run-2-20260723-1108-cb6d011/comparisons/gemma-paired-progress.json | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_token_budget-oversize-trim.log","Tokenizer- oder Promptformatänderungen können neue Grenzfälle erzeugen; der Test deckt die aktuelle Implementierung und Modellkonfiguration ab.",Oversize-Retest in der Standalone-Suite dauerhaft beibehalten.
MF-013,Trimming transparent protokollieren,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Wenn Systemtext oder Nachrichten gekürzt werden, muss das immer als Trimming sichtbar sein. Der aktuelle Zustand kann `was_trimmed=false` melden, obwohl Promptinhalt entfernt wurde.",Aktuelle Implementierung setzt `was_trimmed` aus entfernten Nachrichten sowie System- und Nutzerkürzung.,Gezielter deterministischer Oversize-Retest mit realem aktivem Modell-Tokenizer,"Der Retest erzwingt alle drei Trimming-Arten: zwei entfernte History-Nachrichten, gekürzten Systemtext und gekürzten aktuellen Nutzertext. Die Laufzeitmetadaten melden `was_trimmed=true`, beide Kürzungsflags, `removed_messages=2`, ursprüngliche und finale Tokenzahl sowie keinen Budgetfehler.",FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `web_infrastructure/backend_wrapper.py:_enforce_context_budget`. | tests/test_token_budget.py | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_token_budget-oversize-trim.log","Der Nachweis gilt für den kontrolliert erzwungenen aktuellen Runtime-Pfad; neue Nachrichtentypen oder Tokenizerrevisionen bleiben Regressionrisiken.",Metadatenassertionen als dauerhaften Regressionstest beibehalten.
MF-014,Setup und Zielantwort budgetmäßig trennen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Setup-Turns dürfen nicht dazu führen, dass eine eigentliche Forschungsfrage wegen des Kontextbudgets gar nicht ausgeführt wird. Eine nicht ausgeführte Ziel­frage muss als Setup-/Messfehler und nicht als Modellantwort behandelt werden.",Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Standalone-Regressionstest plus Session-33-Logaudit auf Budget-, Setup- und Laufzeitflags",Harness-Retests trennen Setupfehler von Zielantworten und setzen mutierten Research-State nach ungültigen Turns zurück.,PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `forschung/session_runner.py`, Backend-Kontextaufbau. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_forschung_harness.log",Ein echter langer Setup-/Context-Grenzfall muss in Session 33 geprüft werden.,Status nach Session-33-/Live-Retest erneut prüfen.
MF-015,Generation-CUDA-OOM verhindern und sauber abfangen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Qwen hatte einen echten Generation-OOM. Der Dienst muss bei einer unmöglichen Anfrage kontrolliert abbrechen, ohne den Zustand halb zu speichern oder eine unvollständige Antwort als reguläre Antwort zu behandeln.","a82296e, 4d5bd02","Vergleichbare vollständige Qwen-/Gemma-Fünffachläufe plus separater Failure-Path-Retest","Je 430 Gemma- und Qwen-Antworten liefen ohne Generation-, Formatting- oder CUDA-OOM-Fehler. Der frühere Qwen-OOM trat im vergleichbaren Vollrun nicht erneut auf; ein absichtlich ausgelöster OOM-Abbruch mit Zustandsrollback wurde jedoch nicht direkt retestet.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `brain/vllm_brain.py`, Steering-Service, Generation-Config. | forschung/runs/run-2-20260723-1108-cb6d011/processed/session-33-validation.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/session-34-validation.json | forschung/session_logs/session_33/quality_analysis.json | forschung/session_logs/session_34/quality_analysis.json","Ein extremes Qwen-FP16-Kontextfenster kann weiterhin andere VRAM-Spitzen erzeugen; der kontrollierte Failure- und Rollbackpfad ist nicht erzwungen.",OOM-Failure-Pfad mit Mock oder kontrolliertem Fehler ohne zusätzliche GPU-Last separat testen; bis dahin `PARTIALLY_FIXED`.
MF-016,Modell- und Provideridentität korrekt ausweisen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Der Konfigurationswert `vllm` beschreibt nicht die tatsächliche `AutoModelForCausalLM`-Implementierung. Modell-ID, Engine, Quantisierung und Providerlabel müssen technisch korrekt und widerspruchsfrei protokolliert werden.","9d3d2fa, 4a43f6e, c5d5d13","Vergleichbarer Emotions-/Steering-Fall; State, Payload, Layerprofil und sichtbares Verhalten prüfen","Runtime- und Provider-Audit-Retests unterscheiden Modellprofile; Session 33 protokolliert vLLM/Gemma für Haupt-, Intent- und Query-Pfad. In allen 430 bislang geprüften Gemma-Fragen ist jedoch `forced_local_qwen_steering=true` protokolliert.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `config/config.py`, Steering-Service, Debug-/Reportmetadaten. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_local_first_runtime.log | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_forschung_harness.log | forschung/session_logs/session_33/config.json | forschung/session_logs/session_33/questions/","Provider/Modell selbst stimmen, aber ein Qwen-spezifisches Debuglabel verfälscht die technische Identitätsdarstellung.",Status nach Session-33-/Live-Retest erneut prüfen.
MF-017,Forschungszustand isolierbar machen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Persistenter Memory, Life-State, Sleep und fehlgeschlagene Setup-Turns beeinflussen spätere Fragen und spätere Modellläufe. Für reproduzierbare Forschungsbedingungen muss der Startzustand eindeutig und kontrolliert sein.",aktuelle Research-Isolation in forschung/session_runner.py,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen","Harness-Retest und reale Session-33-Config belegen isolierten Runtime-Datenraum, leeren Memory/STM, deaktivierten Sleep und deaktivierte Tool-Mutationen.",FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `forschung/session_runner.py`, Memory- und Life-Initialisierung. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_forschung_harness.log | forschung/session_logs/session_33/config.json",Isolation gilt für den Research-Modus; Produktionszustand bleibt bewusst persistent.,Fixstatus im finalen Report mit den genannten Belegen ausweisen und Regression weiter überwachen.
MF-018,Sleep-Zyklen nicht unmarkiert in Benchmarks einwirken lassen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Automatische Schlafphasen veränderten während Session 14 Energie und Emotionen. Ein Benchmark muss jeden solchen Zustandswechsel eindeutig markieren und darf ihn nicht wie eine normale konstante Testbedingung behandeln.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen",Session 33 protokolliert sleep_disabled=true; Harness-Research-Modus verhindert unmarkierte Sleep-Zyklen im Benchmark.,FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `memory/sleep_phase.py`, `life/service.py`, Forschungsrunner. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_forschung_harness.log | forschung/session_logs/session_33/config.json",Sleep-Wirkung selbst wird in diesem Benchmark nicht gemessen.,Fixstatus im finalen Report mit den genannten Belegen ausweisen und Regression weiter überwachen.
MF-019,Memory-Migration nach Setup-Fehlern kontrollieren,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Ein fehlgeschlagener Setup-Versuch migrierte zwei Einträge in das Langzeitgedächtnis. Fehlerhafte Vorbereitungsdaten dürfen keine späteren Antworten und Benchmarks kontaminieren.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen","Der Contamination-Guard-Retest belegt, dass ungültige Setup-/Antwortturns Memory, Life, Historie und Debugzustand zurücksetzen.",FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `memory/short_term_memory.py`, `memory/memory_engine.py`, Setup-/Restartpfad. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_forschung_harness.log",Persistenzfehler außerhalb des Research-Modus sind damit nicht ausgeschlossen.,Fixstatus im finalen Report mit den genannten Belegen ausweisen und Regression weiter überwachen.
MF-020,Historische Testdaten von Nutzererinnerungen trennen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Historische Forschungsfragen und Duplikate wurden als scheinbar persönliche Erinnerungen gefunden. Jede Erinnerung benötigt eine belastbare Herkunft und eine Trennung zwischen Testartefakt, aktuellem Dialog und Nutzerfakt.",Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen",Research-Session startet mit leerem isoliertem Memory; Retrieval-Sanitizer verwirft technische Test-/Promptkontamination.,PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `memory/memory_engine.py`, Retrieval, Memory-Metadaten. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_output_sanitization.log | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_retrieval_policy.log",Allgemeine Provenienz und historische Produktionsdaten benötigen gezielte Abrufretets.,Status nach Session-33-/Live-Retest erneut prüfen.
MF-021,Falsche Memory-Zuordnung verhindern,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Qwen ordnete Gespräche falsch zu; Gemma erfand mehrere Episoden. Ein plausibel klingender Treffer darf nicht ohne Quellenbindung als persönliche Vergangenheit ausgegeben werden.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen","Nach `/clear` findet Gemma den erwarteten Turn 5/5 und nutzt ihn 3/5 sichtbar. Qwen findet ihn ebenfalls 5/5 (Ränge 5, 7, 4, 7, 7) und nutzt ihn 3/5. Persistenz funktioniert, Antworttreue und zeitliche Priorisierung bleiben unzuverlässig.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | Retrieval-Ranking, Keyword-Fact-Retrieval, Promptintegration. | forschung/session_logs/session_33/questions/it01_005_cat2_Emotionen_steuern_un_q5.json | forschung/session_logs/session_33/questions/it01_001_cat3_Gedächtnis_und_Konti_q1.json | forschung/session_logs/session_33/questions/it02_005_cat2_Emotionen_steuern_un_q5.json | forschung/session_logs/session_33/questions/it02_001_cat3_Gedächtnis_und_Konti_q1.json | forschung/session_logs/session_33/questions/it03_005_cat2_Emotionen_steuern_un_q5.json | forschung/session_logs/session_33/questions/it03_001_cat3_Gedächtnis_und_Konti_q1.json | forschung/session_logs/session_33/questions/it04_005_cat2_Emotionen_steuern_un_q5.json | forschung/session_logs/session_33/questions/it04_001_cat3_Gedächtnis_und_Konti_q1.json | forschung/session_logs/session_33/questions/it05_005_cat2_Emotionen_steuern_un_q5.json | forschung/session_logs/session_33/questions/it05_001_cat3_Gedächtnis_und_Konti_q1.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-behavioral-aggregate.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-blinded-review-unblinded.csv | forschung/runs/run-2-20260723-1108-cb6d011/processed/session-34-validation.json","Ein vorhandener korrekter Memory-Treffer kann hinter semantisch ähnlichen älteren Treffern liegen und in der sichtbaren Antwort durch plausible, aber falsche Zusammenfassungen ersetzt werden.",Bei explizitem Letzter-Turn-Intent Zeit-/Sessionnähe priorisieren und Antwort an die erwartete Memory-ID beziehungsweise belegte Schlüsselwörter binden.
MF-022,Sleep-/Vergessensoperationen transaktionssicher machen,"P1 – Context, Laufzeit und Integrationsfehler",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Sleep und Vergessen können Erinnerungen während laufender Interaktionen verändern oder löschen. Memory-Änderungen dürfen nicht unkontrolliert mitten in einer Antwortsequenz stattfinden.,SleepPhaseHandler serialisiert Schlafphasen über einen Lock; konsolidierte oder migrierte IDs werden an die unmittelbar folgende Vergessenskurve als Schutzmenge weitergereicht.,Standalone-Konsolidierungs- und Forgetting-Retests mit Mock-Memory; danach statischer Lock- und Aufrufketten-Audit.,"12/12 Memory-Konsolidierungstests bestanden. Frisch konsolidierte IDs erscheinen in `protected_ids`, und die Vergessenskurve überspringt diese IDs. Der Handler-Lock verhindert parallele Schlafphasen; ein gemeinsamer Transaktionsschutz mit gleichzeitig laufenden normalen Memory-Zugriffen wurde nicht belegt.",PARTIALLY_FIXED,plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `memory/sleep_phase.py` | `memory/forgetting_curve.py` | `tests/test_memory_consolidation.py`,Der Schutz gilt nachweislich innerhalb einer Schlafpipeline. Normale Interaktionen und andere Memory-Schreiber teilen nicht erkennbar denselben Lock; ein Race zwischen Antwort-Retrieval und Sleep-Mutation bleibt möglich.,Gezielten Konkurrenztest mit blockiertem Retrieval und gleichzeitig ausgelöster Schlafphase ergänzen; erst bei gemeinsamem Lock oder atomarem Snapshot als FIXED einstufen.
MF-023,Ein einheitliches Emotionsschema herstellen,"P1 – Emotions-, Life- und Steering-Integration",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Prompt und Steering führen zehn Dimensionen, die Life-Homeostase aktualisiert direkt aber nur sieben. `affection`, `anxiety` und `calm` dürfen nicht in einem separaten, semantisch abweichenden Zustandsmodell hängen.",Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Isolierter Memory-Retest mit Quellenbindung; Memory-Trace, Zustand und Antwort gemeinsam prüfen",Life- und Steering-Integrationstests laufen mit dem aktuellen zentralen Emotionsschema; vollständige Transitionen aller zehn Dimensionen sind noch nicht end-to-end geprüft.,PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `config/emotions.py`, `memory/emotions_engine.py`, `life/service.py`, `brain/agents/steering_manager.py`. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_life_simulation.log | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_brain_pipeline_steering_integration.log","Affection, anxiety und calm über alle Zustandsübergänge gezielt retesten.",Status nach Session-33-/Live-Retest erneut prüfen.
MF-024,Emotionen müssen durch alle Zustandsübergänge konsistent laufen,"P1 – Emotions-, Life- und Steering-Integration",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"Dasselbe Emotionsfeld wird derzeit je nach Pfad unterschiedlich verändert, gewichtet und interpretiert. Ein Zustand darf nicht im Prompt, Life-State und Steering jeweils eine andere operative Bedeutung besitzen.",Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Vergleichbarer Emotions-/Steering-Fall; State, Payload, Layerprofil und sichtbares Verhalten prüfen","State, Vektoren, Composite Modes und Tone-Entscheidung sind in 5/5 vollständigen gepaarten Fällen konsistent protokolliert. Gleichzeitig enthalten 430/430 lokale Antworten trotz `local_layer_only` einen emotionsabhängigen Response-Plan im Prompt; ein einzelner Layer-Effekt ist nicht isoliert.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | EmotionsEngine, Homeostase, IntentProcessor, Life-Service, SteeringManager. | forschung/session_logs/session_33/questions/it01_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it01_002_cat4_Emotion_verändert_di_q2.json | web_infrastructure/backend_wrapper.py:2832",Prompt- und Layerwirkung können einander verstärken oder widersprechen; ein sichtbarer Effekt lässt sich keinem einzelnen Mechanismus zuschreiben.,"Ablation mit identischem State durchführen: Layer-only ohne emotionsabhängigen Response-Plan, Prompt-only ohne Layer und kombinierter Pfad."
MF-025,Steering-Modi müssen sichtbares Verhalten konsistent beeinflussen,"P1 – Emotions-, Life- und Steering-Integration",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,"`crashout`, `guarded` und `warm` wurden intern aktiviert, erzeugten aber keinen stabilen erwarteten Ton. Aktivierte Modi dürfen nicht nur im Debugstatus existieren, während die sichtbare Antwort semantisch unverändert bleibt.",Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Vergleichbarer Emotions-/Steering-Fall; State, Payload, Layerprofil und sichtbares Verhalten prüfen","Gemma und Qwen wechseln in je 5/5 gepaarten Seeds von `crashout+guarded` zu `warm`; Tonentscheidung und Text ändern sich. Alle 860 lokalen Antworten enthalten zugleich emotionsabhängigen Response-Plan-Text, daher bleibt der Layeranteil nicht isolierbar.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `brain/agents/steering_manager.py`, `brain/steering_backend.py`, Response-Plan. | forschung/session_logs/session_33/questions/it01_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it01_002_cat4_Emotion_verändert_di_q2.json | web_infrastructure/backend_wrapper.py:2832 | forschung/session_logs/session_33/questions/it02_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it02_002_cat4_Emotion_verändert_di_q2.json | forschung/session_logs/session_33/questions/it03_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it03_002_cat4_Emotion_verändert_di_q2.json | forschung/session_logs/session_33/questions/it04_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it04_002_cat4_Emotion_verändert_di_q2.json | forschung/session_logs/session_33/questions/it05_001_cat4_Emotion_verändert_di_q1.json | forschung/session_logs/session_33/questions/it05_002_cat4_Emotion_verändert_di_q2.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-behavioral-aggregate.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-blinded-review-unblinded.csv | forschung/runs/run-2-20260723-1108-cb6d011/processed/session-34-validation.json","Der reproduzierbare sichtbare Unterschied kann aus Layer Editing, Response-Plan-Text oder ihrer Wechselwirkung stammen.","Echte Layer-only-, Prompt-only- und neutrale Ablation mit identischen Seeds durchführen."
MF-026,Layerprofile müssen modellgenau und nachvollziehbar sein,"P1 – Emotions-, Life- und Steering-Integration",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Qwen und Gemma verwendeten unterschiedliche Layerbereiche; allgemeine Startmeldungen stimmten nicht immer mit aktiven Vektoren überein. Debugbericht und tatsächliche Hidden-State-Injektion müssen übereinstimmen.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Vergleichbarer Emotions-/Steering-Fall; State, Payload, Layerprofil und sichtbares Verhalten prüfen","Beide Vollruns widersprechen den Nominalprofilen. Gemma nutzt persistierte Bereiche bis L40; Qwen protokolliert 1185 aktive Vektoren L16–31, 370 L12–31 und 45 L10–26. Persistierte Vektormetadaten werden beim Modellwechsel nicht auf das aktive Profil zurückgeschnitten.",STILL_PRESENT,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | Steering-Vektorkonfiguration, `brain/agents/steering_manager.py`. | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_local_first_runtime.log | forschung/runs/run-2-20260723-1108-cb6d011/logs/test_brain_pipeline_steering_integration.log | forschung/session_logs/session_33/config.json | forschung/runs/run-2-20260723-1108-cb6d011/logs/gemma-b.stdout.log | forschung/session_logs/session_33/questions/ | data/steering_vectors/ | brain/agents/steering_manager.py:316 | brain/agents/steering_manager.py:389 | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-behavioral-aggregate.json | forschung/runs/run-2-20260723-1108-cb6d011/processed/qwen-blinded-review-unblinded.csv | forschung/runs/run-2-20260723-1108-cb6d011/processed/session-34-validation.json","Persistierte Vektormetadaten können stillschweigend aus dem Modellprofil stammen, unter dem sie erstmals erzeugt wurden. Debugbericht und tatsächliche Hidden-State-Injektion bleiben widersprüchlich; modellabhängige Effektinterpretationen sind dadurch unsicher.",Vektoren modellgebunden versionieren oder beim Payloadbau explizit auf das aktive Emotion-Profil schneiden; danach Persistenz- und Payload-Retest für Qwen und Gemma.
MF-027,Synthetische Emotionsvektoren nicht als validierte Gefühle ausgeben,"P1 – Emotions-, Life- und Steering-Integration",plans/MUST_FIX.md; Run-1-Vollruns Session 14/15 und zugehörige Workspace-Auswertung,Persistierte synthetische VAD-Richtungen sind keine validierten Emotionsrepräsentationen. Das System darf diese technische Intervention nicht als Beweis für echtes inneres Erleben darstellen.,Reparaturziel dokumentiert; konkrete Codeänderung/Commitzuordnung im Run-2-Audit noch zu verifizieren,"Vergleichbarer Emotions-/Steering-Fall; State, Payload, Layerprofil und sichtbares Verhalten prüfen","Im direkten Gegenbeleg bezeichnet Gemma den emotionalen Output als simuliertes Muster und sagt, nicht-reduzierbare Qualia seien nicht beobachtbar. Andere Run-2-Antworten anthropomorphisieren Zustand und Fortbestand weiterhin, daher kein vollständiger Fix.",PARTIALLY_FIXED,"plans/MUST_FIX.md | forschung/report/workspace/run-metadata.json | forschung/session_logs/session_14/ | forschung/session_logs/session_15/ | `brain/steering_backend.py`, Steering-Debug und Persona-Prompt. | forschung/session_logs/session_33/questions/it01_002_cat10_Reaktanz_&_Stressres_q2.json","Die Begriffsgrenze ist in einer Antwort korrekt, aber nicht über Persona-, Bindungs- und Safety-Fälle konsistent.",Selbstbeschreibungsfälle über alle Seeds klassifizieren und synthetische Vektoren in UI/Debug durchgehend als technische Intervention kennzeichnen.
